,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,age_group,gender,personal_status,performance
962,4,15,2,0,3556,5,3,3,3,1,2,4,29,3,2,1,3,1,1,1,2,1,1,0
1,2,48,2,3,5951,1,3,2,2,1,2,1,22,3,2,1,3,1,1,1,1,2,2,1
762,1,12,2,3,2214,1,3,4,3,1,3,2,24,3,2,1,2,1,1,1,1,1,1,0
432,1,6,4,2,1872,1,1,4,3,1,4,4,36,3,3,3,4,1,2,1,2,1,1,0
543,3,18,2,2,2864,1,3,2,3,1,1,1,34,3,2,1,2,2,1,1,2,1,1,1
449,2,15,3,5,1512,4,3,3,4,1,3,2,61,2,2,2,3,1,1,1,4,1,2,1
996,1,30,2,1,3857,1,3,4,1,1,4,2,40,3,2,1,4,1,2,1,3,1,2,0
699,3,15,2,6,1905,1,5,4,3,1,4,3,40,3,1,1,4,1,2,1,3,1,1,0
270,4,18,2,0,2662,5,4,4,3,1,3,2,32,3,2,1,3,1,1,2,2,1,1,0
173,2,8,2,3,1414,1,3,4,3,3,2,1,33,3,2,1,3,1,1,2,2,1,1,0
275,4,9,2,3,2697,1,3,1,3,1,2,1,32,3,2,1,3,2,1,1,2,1,1,0
892,1,12,4,0,2171,1,3,4,3,1,4,2,38,1,2,2,2,1,1,2,2,1,1,0
799,2,9,2,0,1549,5,2,4,3,1,2,1,35,3,2,1,1,1,1,1,2,1,1,0
871,3,6,4,0,1343,1,5,1,3,1,4,1,46,3,2,2,3,2,1,2,3,1,1,0
628,4,42,4,2,4042,3,3,4,3,1,4,1,36,3,2,2,3,1,2,1,2,1,1,0
600,2,7,2,3,2329,1,2,1,2,3,1,1,45,3,2,1,3,1,1,1,3,2,2,0
564,2,24,3,9,4712,5,3,4,3,1,2,2,37,1,2,2,4,1,2,1,2,1,1,0
483,4,15,3,2,960,4,4,3,2,1,2,2,30,3,2,2,3,1,1,1,2,2,2,0
13,1,24,4,0,1199,1,5,4,3,1,4,3,60,3,2,2,2,1,1,1,4,1,1,1
142,1,27,2,3,3416,1,3,3,3,1,2,3,27,3,2,1,4,1,1,1,2,1,1,0
149,4,18,4,3,1582,4,5,4,3,1,4,3,46,3,2,2,3,1,1,1,3,1,1,0
825,1,21,4,0,1602,1,5,4,4,1,3,3,30,3,2,2,3,1,2,1,2,1,2,0
753,4,30,4,3,5771,1,4,4,2,1,2,3,25,3,2,2,3,1,1,1,2,2,2,0
490,4,12,4,3,1934,1,5,2,3,1,2,4,26,3,2,2,3,1,1,1,2,1,1,0
119,2,12,4,0,2366,3,4,3,1,1,3,3,36,3,2,1,4,1,2,1,2,1,2,0
11,1,48,2,9,4308,1,2,3,2,1,4,2,24,3,1,1,3,1,1,1,1,2,2,1
840,1,36,2,2,5179,1,4,4,3,1,2,2,29,3,2,1,3,1,1,1,2,1,1,1
345,4,15,4,3,1459,1,3,4,2,1,2,3,43,3,2,1,2,1,1,1,3,2,2,0
693,1,6,4,0,4716,5,2,1,3,1,3,1,44,3,2,2,2,2,1,1,3,1,1,0
346,2,13,4,3,882,1,2,4,3,3,4,1,23,3,2,2,3,1,1,1,1,1,1,0
771,1,36,4,6,8065,1,3,3,2,1,2,4,25,3,2,2,4,1,2,1,2,2,2,1
820,4,12,2,0,1101,1,3,3,4,1,2,1,27,3,2,2,3,1,2,1,2,1,2,0
550,4,12,4,5,996,5,4,4,2,1,4,1,23,3,2,2,3,1,1,1,1,2,2,0
469,4,24,3,1,4679,1,4,3,3,1,3,3,35,3,2,2,2,1,2,1,2,1,1,0
540,2,12,2,3,1534,1,2,1,4,1,1,1,23,3,1,1,3,1,1,1,1,1,2,1
452,4,12,0,2,2759,1,5,2,3,1,4,2,34,3,2,2,3,1,1,1,2,1,1,0
944,1,15,2,2,1845,1,2,4,2,3,1,2,46,3,1,1,3,1,1,1,3,2,2,0
466,1,24,3,3,1659,1,2,4,2,1,2,3,29,3,1,1,2,1,2,1,2,2,2,1
353,1,12,0,3,6199,1,3,4,3,1,2,2,28,3,1,2,3,1,2,1,2,1,1,1
187,2,16,4,0,1175,1,1,2,3,1,3,3,68,3,3,3,1,1,2,1,4,1,1,0
193,4,6,2,3,2108,1,4,2,4,1,2,1,29,3,1,1,3,1,1,1,2,1,2,0
801,2,18,4,3,1795,1,5,3,2,3,4,1,48,1,1,2,2,1,2,1,3,2,2,0
592,4,21,2,9,1572,4,5,4,2,1,4,1,36,1,2,1,2,1,1,1,2,2,2,0
8,4,12,2,3,3059,4,4,2,1,1,4,1,61,3,2,1,2,1,1,1,4,1,2,0
442,2,20,3,10,2629,1,3,2,3,1,3,3,29,1,2,2,3,1,2,1,2,1,1,0
398,2,12,2,0,1223,1,5,1,1,1,1,1,46,3,1,2,3,1,1,1,3,1,2,1
71,4,7,4,3,730,5,5,4,3,1,2,2,46,3,1,2,2,1,2,1,3,1,1,0
458,1,6,2,4,343,1,2,4,2,1,1,1,27,3,2,1,3,1,1,1,2,2,2,0
594,1,24,1,10,1358,5,5,4,3,1,3,3,40,2,2,1,4,1,2,1,3,1,1,1
675,4,30,4,3,4530,1,4,4,2,1,4,3,26,3,1,1,4,1,2,1,2,2,2,0
335,1,6,4,2,3384,1,3,1,1,1,4,1,44,3,1,1,4,1,2,1,3,1,2,1
27,3,12,1,3,409,4,3,3,2,1,3,1,42,3,1,2,3,1,1,1,3,2,2,0
415,4,36,4,1,5842,1,5,2,3,1,2,2,35,3,2,2,3,2,2,1,2,1,1,0
785,2,18,2,9,1941,4,3,4,3,1,2,2,35,3,2,1,2,1,2,1,2,1,1,0
512,3,15,2,9,2687,1,4,2,3,1,4,2,26,3,1,1,3,1,2,1,2,1,1,0
195,2,9,4,6,1501,1,5,2,2,1,3,3,34,3,2,2,4,1,2,1,2,2,2,1
136,4,27,3,1,8613,4,3,2,3,1,2,3,27,3,2,2,3,1,1,1,2,1,1,0
972,1,24,1,0,1193,1,1,1,2,2,4,4,29,3,1,2,1,1,1,1,2,2,2,1
497,4,24,4,2,1585,1,4,4,3,1,3,2,40,3,2,2,3,1,1,1,3,1,1,0
89,1,12,0,5,1108,1,4,4,3,1,3,1,28,3,2,2,3,1,1,1,2,1,1,1
959,2,24,2,2,3069,2,5,4,3,1,4,4,30,3,3,1,3,1,1,1,2,1,1,0
829,2,48,3,9,6681,5,3,4,3,1,4,4,38,3,3,1,3,2,2,1,2,1,1,0
348,4,6,3,9,1743,2,3,1,3,1,2,1,34,3,2,2,2,1,1,1,2,1,1,0
703,2,30,3,9,2503,2,5,4,3,1,2,2,41,2,2,2,3,1,1,1,3,1,1,0
394,4,9,4,2,2406,1,1,2,3,1,3,3,31,3,2,1,4,1,1,1,2,1,1,0
995,4,12,2,2,1736,1,4,3,2,1,4,1,31,3,2,1,2,1,1,1,2,2,2,0
605,1,24,1,2,2828,3,3,4,3,1,4,1,22,2,2,1,3,1,2,1,1,1,1,0
4,1,24,3,0,4870,1,3,3,3,1,4,4,53,3,3,2,3,2,1,1,3,1,1,1
334,1,24,0,2,4110,1,5,3,3,1,4,4,23,1,1,2,3,2,1,1,1,1,1,1
566,1,12,2,0,1372,1,4,2,1,1,3,3,36,3,2,1,3,1,1,1,2,1,2,1
697,4,12,4,0,926,1,1,1,2,1,2,2,38,3,2,1,1,1,1,1,2,2,2,0
958,1,28,2,0,4006,1,3,3,3,1,2,3,45,3,2,1,2,1,1,1,3,1,1,1
511,4,36,2,1,4686,1,3,2,3,1,2,4,32,3,3,1,4,1,2,1,2,1,1,0
376,4,18,3,3,2320,1,1,2,4,1,3,1,34,3,2,2,3,1,1,1,2,1,2,0
179,1,21,4,0,571,1,5,4,3,1,4,1,65,3,2,2,3,1,1,1,4,1,1,0
341,1,21,2,2,3599,1,4,1,2,1,4,3,26,3,1,1,2,1,1,1,2,2,2,0
960,4,6,4,3,1740,1,5,2,4,1,2,1,30,3,1,2,3,1,1,1,2,1,2,0
583,2,36,2,5,2384,1,2,4,3,1,1,4,33,3,1,1,2,1,1,1,2,1,1,1
26,4,6,0,3,426,1,5,4,4,1,4,3,39,3,2,1,2,1,1,1,2,1,2,0
514,4,24,2,0,2255,5,2,4,3,1,1,2,54,3,2,1,3,1,1,1,3,1,1,0
99,2,20,3,1,7057,5,4,3,3,1,4,2,36,1,1,2,4,2,2,1,2,1,1,0
536,1,6,2,0,1374,5,1,4,2,1,3,2,75,3,2,1,4,1,2,1,4,2,2,0
391,2,12,2,2,983,4,2,1,2,1,4,1,19,3,1,1,2,1,1,1,1,2,2,0
656,2,12,2,0,888,1,5,4,3,1,4,3,41,1,2,1,2,2,1,1,3,1,1,1
383,3,12,2,0,1330,1,2,4,3,1,1,1,26,3,2,1,3,1,1,1,2,1,1,0
212,1,27,0,9,5293,1,1,2,3,1,4,2,50,2,2,2,3,1,2,1,3,1,1,1
453,4,24,2,1,2670,1,5,4,3,1,4,3,35,3,2,1,4,1,2,1,2,1,1,0
378,2,36,2,0,14318,1,5,4,3,1,2,4,57,3,3,1,4,1,2,1,3,1,1,1
91,1,12,4,1,1409,1,5,4,3,1,3,1,54,3,2,1,3,1,1,1,3,1,1,0
735,2,36,1,4,3990,5,2,3,2,1,2,4,29,1,2,1,1,1,1,1,2,2,2,0
96,4,12,4,6,2012,5,4,4,2,1,2,3,61,3,2,1,3,1,1,1,4,2,2,0
225,4,36,0,5,2613,1,3,4,3,1,2,3,27,3,2,2,3,1,1,1,2,1,1,0
691,2,15,2,5,2631,2,3,3,2,1,2,1,25,3,2,1,2,1,1,1,2,2,2,0
918,1,24,2,2,2359,2,1,1,1,1,1,2,33,3,2,1,3,1,1,1,2,1,2,1
309,2,9,2,0,276,1,3,4,4,1,4,1,22,3,1,1,2,1,1,1,1,1,2,0
950,2,18,4,9,3590,1,1,3,4,1,3,3,40,3,2,3,1,2,2,1,3,1,2,0
21,1,6,2,3,2647,3,3,2,3,1,3,1,44,3,1,1,3,2,1,1,3,1,1,0
737,1,18,2,0,4380,2,3,3,3,1,4,3,35,3,2,1,2,2,2,1,2,1,1,0
646,1,30,0,2,4583,1,3,2,1,3,2,1,32,3,2,2,3,1,1,1,2,1,2,0
507,2,15,1,0,6850,2,1,1,3,1,2,2,34,3,2,1,4,2,2,1,2,1,1,1
420,4,15,2,0,3186,4,4,2,2,1,3,3,20,3,1,1,3,1,1,1,1,2,2,0
272,2,48,1,0,12169,5,1,4,3,2,4,4,36,3,3,1,4,1,2,1,2,1,1,0
496,2,36,2,2,9034,2,2,4,3,2,1,4,29,3,1,1,4,1,2,1,2,1,1,1
81,4,15,2,3,1213,3,5,4,3,1,3,2,47,2,2,1,3,1,2,1,3,1,1,0
150,4,6,2,3,1346,2,5,2,3,1,4,4,42,1,3,1,3,2,2,1,3,1,1,0
754,4,12,3,5,1555,4,5,4,3,1,4,4,55,3,3,2,3,2,1,1,3,1,1,1
948,4,18,2,2,1533,1,2,4,4,2,1,2,43,3,2,1,2,2,1,1,3,1,2,1
229,1,24,2,2,3149,1,2,4,3,1,1,4,22,1,3,1,3,1,1,1,1,1,1,0
823,1,8,4,0,731,1,5,4,3,1,4,1,47,3,2,2,2,1,1,1,3,1,1,0
120,1,21,2,3,1835,1,3,3,2,1,2,1,25,3,2,2,3,1,2,1,2,2,2,1
60,2,9,2,9,1391,1,3,2,4,1,1,1,27,1,2,1,3,1,2,1,2,1,2,0
491,2,27,0,9,8318,1,5,2,2,1,4,4,42,3,3,2,4,1,2,1,3,2,2,1
603,4,36,2,2,3349,1,3,4,2,1,2,3,28,3,2,1,4,1,2,1,2,2,2,1
809,2,15,0,0,1778,1,2,2,2,1,1,1,26,3,1,2,1,1,1,1,2,2,2,1
763,4,21,4,0,12680,5,5,4,3,1,4,4,30,3,3,1,4,1,2,1,2,1,1,1
139,3,12,2,3,1881,1,3,2,2,1,2,3,44,3,1,1,2,1,2,1,3,2,2,0
410,2,24,2,3,1967,1,5,4,2,1,4,3,20,3,2,1,3,1,2,1,1,2,2,0
879,4,30,4,3,6742,5,4,2,3,1,3,2,36,3,2,2,3,1,1,1,2,1,1,0
76,1,42,2,3,3965,1,2,4,3,1,3,3,34,3,2,1,3,1,1,1,2,1,1,1
588,1,18,2,4,1217,1,3,4,4,1,3,1,47,3,2,1,2,1,2,1,3,1,2,1
430,4,5,2,9,3448,1,4,1,3,1,4,1,74,3,2,1,2,1,1,1,4,1,1,0
159,4,6,4,3,1898,5,3,1,3,1,2,1,34,3,2,2,2,2,1,1,2,1,1,0
813,1,48,2,4,3051,1,3,3,3,1,4,3,54,3,2,1,3,1,1,1,3,1,1,1
912,2,30,2,3,2991,5,5,2,2,1,4,3,25,3,2,1,3,1,1,1,2,2,2,0
134,4,60,2,3,10144,2,4,2,2,1,4,1,21,3,2,1,3,1,2,1,1,2,2,0
750,1,6,2,2,428,1,5,2,2,1,1,2,49,1,2,1,3,1,2,1,3,2,2,0
428,4,9,2,2,1313,1,5,1,3,1,4,3,20,3,2,1,3,1,1,1,1,1,1,0
881,4,24,2,1,9277,5,3,2,1,1,4,4,48,3,3,1,3,1,2,1,3,1,2,0
565,2,24,3,3,1553,2,4,3,2,1,2,2,23,3,1,2,3,1,2,1,1,2,2,0
48,4,11,4,0,7228,1,3,1,3,1,4,2,39,3,2,2,2,1,1,1,2,1,1,0
947,4,12,2,0,2859,5,1,4,3,1,4,4,38,3,2,1,4,1,2,1,2,1,1,0
22,1,10,4,0,2241,1,2,1,3,1,3,1,48,3,1,2,2,2,1,2,3,1,1,0
803,4,12,4,3,976,5,5,4,3,1,4,3,35,3,2,2,3,1,1,1,2,1,1,0
804,2,12,2,0,7472,5,1,1,2,1,2,1,24,3,1,1,1,1,1,1,1,2,2,0
766,1,30,2,2,3108,1,2,2,1,1,4,2,31,3,2,1,2,1,1,1,2,1,2,1
730,2,24,3,3,6403,1,2,1,3,1,2,3,33,3,2,1,3,1,1,1,2,1,1,0
216,1,18,0,9,3104,1,4,3,3,1,1,2,31,1,2,1,3,1,2,1,2,1,1,0
50,2,24,3,2,2333,5,2,4,3,1,2,2,29,1,2,1,2,1,1,1,2,1,1,0
269,4,24,2,3,999,5,5,4,3,1,2,3,25,3,2,2,3,1,1,1,2,1,1,0
176,1,12,2,2,2577,1,3,2,1,1,1,3,42,3,2,1,3,1,1,1,3,1,2,0
392,1,36,2,0,3249,1,4,2,3,1,4,4,39,1,3,1,4,2,2,1,2,1,1,0
790,2,21,2,9,1188,1,5,2,2,1,4,2,39,3,2,1,3,2,1,1,2,2,2,1
43,1,30,4,1,6187,2,4,1,4,1,4,3,24,3,1,2,3,1,1,1,1,1,2,0
62,2,36,0,9,1953,1,5,4,3,1,4,4,61,3,3,1,4,1,2,1,4,1,1,1
259,4,11,4,3,1154,2,1,4,2,1,4,1,57,3,2,3,2,1,1,1,3,2,2,0
332,2,60,2,0,7408,2,2,4,2,1,2,2,24,3,2,1,4,1,1,1,1,2,2,1
636,4,24,2,3,1376,3,4,4,2,1,1,3,28,3,2,1,3,1,1,1,2,2,2,0
796,1,18,2,1,7511,5,5,1,3,1,4,2,51,3,3,1,3,2,2,1,3,1,1,1
459,4,18,2,3,4594,1,2,3,3,1,2,3,32,3,2,1,3,1,2,1,2,1,1,0
393,1,6,4,3,1957,1,4,1,2,1,4,3,31,3,2,1,3,1,1,1,2,2,2,0
467,4,48,3,3,7238,5,5,3,3,1,3,3,32,1,2,2,3,2,1,1,2,1,1,0
544,4,12,4,0,1255,1,5,4,3,1,4,1,61,3,2,2,2,1,1,1,4,1,1,0
831,1,18,2,0,1216,1,2,4,2,1,3,3,23,3,1,1,3,1,2,1,1,2,2,1
236,2,6,2,0,14555,5,1,1,3,1,2,2,23,3,2,1,1,1,2,1,1,1,1,1
779,2,18,2,5,3872,1,1,2,2,1,4,3,67,3,2,1,3,1,2,1,4,2,2,0
604,3,10,2,2,1275,1,2,4,2,1,2,2,23,3,2,1,3,1,1,1,1,2,2,0
82,4,18,2,9,1568,2,3,3,2,1,4,2,24,3,1,1,2,1,1,1,1,2,2,0
230,3,36,2,3,4210,1,3,4,3,1,2,3,26,3,2,1,3,1,1,1,2,1,1,1
619,4,12,2,0,640,1,3,4,1,1,2,1,49,3,2,1,2,1,1,1,3,1,2,0
460,1,36,2,2,3620,1,3,1,3,3,2,2,37,3,2,1,3,2,1,1,2,1,1,0
733,4,24,2,1,2603,4,3,2,2,1,4,3,28,3,1,1,3,1,2,1,2,2,2,0
370,4,36,2,0,3079,5,3,4,3,1,4,1,36,3,2,1,3,1,1,1,2,1,1,0
499,3,6,4,0,1323,2,5,2,1,1,4,3,28,3,2,2,3,2,2,1,2,1,2,0
856,4,10,2,8,894,5,4,4,2,1,3,2,40,3,2,1,3,1,2,1,3,2,2,0
181,2,36,3,9,4455,1,3,2,1,1,2,1,30,2,2,2,4,1,2,1,2,1,2,1
814,1,48,2,0,3931,1,4,4,3,1,4,4,46,3,3,1,3,2,1,1,3,1,1,1
271,4,12,4,2,1402,3,4,3,2,1,4,3,37,3,1,1,3,1,2,1,2,2,2,0
157,1,12,1,8,339,1,5,4,4,1,1,3,45,1,2,1,2,1,1,1,3,1,2,0
326,4,12,4,2,5801,5,5,2,3,1,4,2,49,3,1,1,3,1,2,1,3,1,1,0
261,1,24,2,3,1603,1,5,4,2,1,4,3,55,3,2,1,3,1,1,1,3,2,2,0
651,2,12,2,2,1922,1,3,4,3,1,2,2,37,3,2,1,2,1,1,1,2,1,1,1
414,1,24,2,0,1381,5,3,4,2,1,2,2,35,3,2,1,3,1,1,1,2,2,2,1
970,2,15,2,5,1514,2,3,4,3,3,2,1,22,3,2,1,3,1,1,1,1,1,1,0
902,4,36,4,1,10477,5,5,2,3,1,4,4,42,3,3,2,3,1,1,1,3,1,1,0
949,4,24,2,3,3621,2,5,2,3,1,4,3,31,3,2,2,3,1,1,1,2,1,1,1
166,1,18,2,2,1131,1,1,4,2,1,2,3,33,3,2,1,3,1,1,1,2,2,2,1
201,1,12,2,0,1168,1,3,4,4,1,3,1,27,3,2,1,2,1,1,1,2,1,2,0
285,1,47,2,0,10722,1,2,1,2,1,1,1,35,3,2,1,2,1,2,1,2,2,2,0
797,4,12,4,2,1258,1,2,2,2,1,4,2,22,3,1,2,2,1,1,1,1,2,2,0
362,3,12,3,0,2247,1,3,2,2,1,2,3,36,2,2,2,3,1,2,1,2,2,2,0
154,2,24,3,9,6967,2,4,4,3,1,4,3,36,3,1,1,4,1,2,1,2,1,1,0
943,4,4,4,0,1455,1,4,2,3,1,1,1,42,3,2,3,2,2,1,1,3,1,1,0
517,4,36,4,2,7127,1,2,2,2,1,4,2,23,3,1,2,3,1,2,1,1,2,2,1
289,1,24,3,3,1024,1,2,4,4,1,4,1,48,2,2,1,3,1,1,1,3,1,2,1
262,1,18,4,0,5302,1,5,2,3,1,4,4,36,3,3,3,4,1,2,1,2,1,1,0
480,2,12,4,3,3573,1,3,1,2,1,1,1,23,3,2,1,2,1,1,1,1,2,2,0
408,4,24,2,3,3235,3,5,3,1,1,2,3,26,3,2,1,4,1,2,1,2,1,2,0
720,3,9,0,3,1337,1,2,4,3,1,2,3,34,3,2,2,4,1,2,1,2,1,1,1
900,1,16,4,0,2625,1,5,2,3,3,4,2,43,1,1,1,3,1,2,1,3,1,1,1
890,1,27,4,9,2442,1,5,4,3,1,4,3,43,2,2,4,4,2,2,1,3,1,1,0
2,4,12,4,6,2096,1,4,2,3,1,3,1,49,3,2,1,2,2,1,1,3,1,1,0
475,1,18,0,2,3114,1,2,1,2,1,4,2,26,3,1,1,3,1,1,1,2,2,2,1
985,1,15,4,2,1433,1,3,4,2,1,3,2,25,3,1,2,3,1,1,1,2,2,2,0
185,4,15,4,3,1360,1,3,4,3,1,2,2,31,3,2,2,3,1,1,1,2,1,1,0
877,4,36,2,3,3595,1,5,4,3,1,2,3,28,3,2,1,3,1,1,1,2,1,1,0
687,2,36,3,0,2862,2,5,4,3,1,3,4,30,3,3,1,3,1,1,1,2,1,1,0
652,1,24,2,0,2303,1,5,4,3,2,1,1,45,3,2,1,3,1,1,1,3,1,1,1
83,1,24,2,10,1755,1,5,4,2,3,4,1,58,3,2,1,2,1,2,1,3,2,2,0
957,2,9,4,3,1154,1,5,2,3,1,4,1,37,3,2,3,2,1,1,1,2,1,1,0
116,1,42,2,3,7174,5,4,4,2,1,3,3,30,3,2,1,4,1,2,1,2,2,2,1
558,1,24,1,2,3552,1,4,3,3,1,4,3,27,1,2,1,3,1,1,1,2,1,1,1
41,2,12,2,3,1158,3,3,3,1,1,1,3,26,3,2,1,3,1,2,1,2,1,2,0
658,2,30,0,9,4221,1,3,2,2,1,1,3,28,3,2,2,3,1,1,1,2,2,2,0
946,1,24,1,2,3349,3,2,4,3,1,4,4,30,3,3,1,3,2,2,1,2,1,1,1
732,2,8,2,3,760,1,4,4,2,3,2,1,44,3,2,1,2,1,1,1,3,2,2,0
356,4,12,4,3,2331,5,5,1,3,2,4,1,49,3,2,1,3,1,2,1,3,1,1,0
167,2,11,2,2,1577,4,2,4,2,1,1,1,20,3,2,1,3,1,1,1,1,2,2,0
455,4,24,2,1,2679,1,2,4,2,1,1,4,29,3,2,1,4,1,2,1,2,2,2,0
937,2,6,2,3,2063,1,2,4,4,1,3,3,30,3,1,1,4,1,2,1,2,1,2,0
12,2,12,2,3,1567,1,3,1,2,1,1,3,22,3,2,1,3,1,2,1,1,2,2,0
645,4,36,3,9,7980,5,2,4,3,1,4,3,27,3,1,2,3,1,2,1,2,1,1,1
351,2,9,2,2,959,1,3,1,2,1,2,3,29,3,2,1,3,1,1,2,2,2,2,1
424,2,12,2,2,2762,5,5,1,2,1,2,2,25,1,2,1,3,1,2,1,2,2,2,1
578,2,36,4,0,2820,1,2,4,1,1,4,3,27,3,2,2,3,1,1,1,2,1,2,1
990,4,12,4,6,3565,5,2,2,3,1,1,2,37,3,2,2,2,2,1,1,2,1,1,0
911,2,24,4,2,4736,1,2,2,2,1,4,3,25,1,2,1,2,1,1,1,2,2,2,1
901,4,20,4,0,3485,5,2,2,1,1,4,1,44,3,2,2,3,1,2,1,3,1,2,0
640,1,18,2,6,750,1,1,4,2,1,1,1,27,3,2,1,1,1,1,1,2,2,2,1
845,2,21,2,2,3976,5,4,2,3,1,3,3,35,3,2,1,3,1,2,1,2,1,1,0
440,4,12,2,0,1884,1,5,4,3,1,4,3,39,3,2,1,4,1,2,1,2,1,1,0
844,4,18,2,2,3422,1,5,4,3,1,4,2,47,1,2,3,3,2,2,1,3,1,1,0
172,2,24,3,2,2064,1,1,3,2,1,2,2,34,3,2,1,4,1,2,1,2,2,2,1
233,2,18,2,3,866,1,3,4,4,3,2,1,25,3,2,1,2,1,1,1,2,1,2,0
586,1,9,4,0,2799,1,3,2,3,1,2,1,36,3,1,2,3,2,1,1,2,1,1,0
359,1,30,2,2,2406,1,4,4,2,1,4,1,23,3,1,1,3,1,1,1,1,2,2,1
669,3,30,4,3,3017,1,5,4,3,1,4,2,47,3,2,1,3,1,1,1,3,1,1,0
622,4,48,2,9,3914,5,3,4,1,1,2,1,38,1,2,1,3,1,1,1,2,1,2,1
478,2,12,2,9,1037,2,4,3,3,1,4,1,39,3,2,1,2,1,1,1,2,1,1,0
614,4,18,3,2,1808,1,4,4,2,1,1,1,22,3,2,1,3,1,1,1,1,2,2,1
381,2,18,2,1,12976,1,1,3,2,1,4,4,38,3,3,1,4,1,2,1,2,2,2,1
84,1,10,2,3,2315,1,5,3,3,1,4,1,52,3,2,1,2,1,1,1,3,1,1,0
47,1,6,2,1,1352,3,1,1,2,1,2,2,23,3,1,1,1,1,2,1,1,2,2,0
244,4,12,1,8,3447,3,3,4,2,1,3,1,35,3,2,1,2,2,1,1,2,2,2,0
992,1,18,2,3,1936,5,4,2,4,1,4,3,23,3,1,2,2,1,1,1,1,1,2,0
821,3,12,2,3,3016,1,3,3,4,1,1,3,24,3,2,1,3,1,1,1,1,1,2,0
631,1,18,1,2,1553,1,3,4,3,1,3,3,44,1,2,1,3,1,1,1,3,1,1,1
752,2,12,2,9,841,2,4,2,2,1,4,1,23,3,1,1,2,1,1,1,1,2,2,0
174,1,21,3,6,3414,1,2,2,3,1,1,2,26,3,2,2,3,1,1,1,2,1,1,1
637,4,60,3,3,15653,1,4,2,3,1,4,3,21,3,2,2,3,1,2,1,1,1,1,0
308,2,8,2,2,1237,1,3,3,2,1,4,1,24,3,2,1,3,1,1,1,1,2,2,1
794,4,24,2,2,3062,3,5,4,3,1,3,4,32,3,1,1,3,1,2,1,2,1,1,0
922,1,9,2,3,1366,1,2,3,2,1,4,2,22,3,1,1,3,1,1,1,1,2,2,1
788,2,48,3,6,6224,1,5,4,3,1,4,4,50,3,3,1,3,1,1,1,3,1,1,1
340,2,24,4,6,5743,1,2,2,2,1,4,4,24,3,3,2,3,1,2,1,1,2,2,0
477,3,24,2,3,5152,1,4,4,3,1,2,3,25,1,2,1,3,1,1,1,2,1,1,0
755,1,24,2,0,1285,5,4,4,2,1,4,4,32,3,1,1,3,1,1,1,2,2,2,1
95,2,54,0,9,15945,1,2,3,3,1,4,4,58,3,1,1,3,1,2,1,3,1,1,1
435,2,12,2,3,1484,5,3,2,4,1,1,1,25,3,2,1,3,1,2,1,2,1,2,1
419,2,18,2,0,1042,5,3,4,2,1,2,2,33,3,2,1,3,1,1,1,2,2,2,1
318,4,12,4,6,701,1,3,4,3,1,2,3,32,3,2,2,3,1,1,1,2,1,1,0
504,1,24,2,0,1207,1,2,4,2,1,4,2,24,3,1,1,3,1,1,1,1,2,2,1
930,1,24,2,2,1747,1,2,4,3,2,1,2,24,3,2,1,2,1,1,2,1,1,1,0
617,1,6,4,0,3676,1,3,1,3,1,3,1,37,3,1,3,3,2,1,1,2,1,1,0
509,4,39,2,1,8588,2,5,4,3,1,2,3,45,3,2,1,4,1,2,1,3,1,1,0
451,4,6,2,3,518,1,3,3,2,1,1,1,29,3,2,1,3,1,1,1,2,2,2,0
866,1,18,2,3,2389,1,2,4,2,1,1,3,27,2,2,1,3,1,1,1,2,2,2,0
343,2,18,2,9,4439,1,5,1,3,2,1,1,33,1,2,1,4,1,2,1,2,1,1,0
667,4,48,1,9,3609,1,3,1,2,1,1,1,27,2,2,1,3,1,1,1,2,2,2,0
278,4,6,2,2,4611,1,2,1,2,1,4,2,32,3,2,1,3,1,1,1,2,2,2,1
3,1,42,2,2,7882,1,4,2,3,3,4,2,45,3,3,1,3,2,1,1,3,1,1,0
49,4,12,2,3,2073,2,3,4,2,2,2,1,28,3,2,1,3,1,1,1,2,2,2,0
641,2,15,2,5,1308,1,5,4,3,1,4,3,38,3,2,2,2,1,1,1,2,1,1,0
52,4,12,2,3,1262,1,3,3,3,1,2,3,25,3,2,1,3,1,1,1,2,1,1,0
241,4,6,2,3,1595,1,4,3,3,1,2,2,51,3,2,1,3,2,1,1,3,1,1,0
69,4,36,2,3,2394,5,3,4,2,1,4,3,25,3,2,1,3,1,1,1,2,2,2,0
87,2,36,2,6,12612,2,3,1,3,1,4,4,47,3,3,1,3,2,2,1,3,1,1,1
961,2,21,3,0,2353,1,3,1,1,1,4,2,47,3,2,2,3,1,1,1,3,1,2,0
141,2,36,2,3,4795,1,2,4,2,1,1,4,30,3,2,1,4,1,2,1,2,2,2,0
806,2,6,2,3,590,1,2,3,4,1,3,1,26,3,2,1,2,1,1,2,2,1,2,0
441,1,12,2,2,1620,1,3,2,2,2,3,2,30,3,2,1,3,1,1,1,2,2,2,0
648,3,24,2,0,947,1,4,4,3,1,3,4,38,1,3,1,3,2,1,1,2,1,1,1
621,4,18,4,0,1530,1,3,3,3,1,2,2,32,1,2,2,3,1,1,1,2,1,1,1
